category,question,answer,on_point_date
Architecture,"What is dependency injection?","DI means a class doesn't create its own dependencies — instead, it receives them from outside, usually through the initializer. That makes it easy to swap them for mocks in tests.",2026-08-21
Architecture,"What is the Repository pattern?","The Repository pattern puts an abstraction layer between my business logic and the data sources. The ViewModel talks to a repository protocol — fetchUser, saveOrder — without knowing whether the data comes from the network, a database, or a cache; the concrete repository decides that. The two big wins are decoupling — I can swap or combine data sources without touching the rest of the app — and testability, because tests just inject a fake repository.",
Swift Language,"What does @escaping mean?","@escaping marks a closure that can outlive the function it's passed to — instead of running immediately, it's stored and called later, like a network completion handler. That's why the compiler requires explicit self inside: an escaping closure can create a retain cycle.",2026-08-21
Swift Language,"What is a property wrapper?","A property wrapper is a type that wraps a property's getter and setter, so the same logic can be reused across properties — like @State or @Published.",2026-09-01
Persistence,"Core Data vs SwiftData",,
Persistence,"What is SwiftData?",,
Anti-patterns,"What is the Massive View Controller anti-pattern?",,
Swift Language,"try vs try? vs try! — what does each one do?","All three call a function that can throw — the difference is how the error is handled. try is the standard form: inside a do-catch, the error jumps to the catch block; inside a throwing function, it propagates up to the caller. try? converts the result into an optional: if the call throws, it returns nil and the error is discarded. try! assumes the call cannot fail: it returns a non-optional, and if it does throw, the app crashes.",
Swift Concurrency,"@preconcurrency",,
Swift Concurrency,"In which year was Swift Concurrency launched?","Swift Concurrency launched in 2021, with Swift 5.5 and iOS 15 — and it can back-deploy to iOS 13.",2026-09-07
